trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",25,12,-62.13028673365255,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 1}",1
87,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",20,6,-47.43599480468325,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.914845573574452, 'e': 0.4106557527523455}",20,6,-16.860626235462423,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
89,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",25,0,15.14148363334951,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",20,12,14.17809110627148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",20,13,4.605951393563371,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",20,0,-29.45075135942487,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",20,0,-50.603639936271655,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
94,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",30,19,5.93413164210296,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",25,0,37.28161352294958,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",20,1,-77.6010533940002,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
97,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",30,17,15.967928598464459,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",25,0,-4.702049081904758,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.9048374180359596, 'e': 0.36787944117144233}",20,7,-3.0137013638759536,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
100,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",20,0,-27.827302727522547,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
