trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",20,0,-64.04675343369925,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",20,5,-9.737242820813913,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",20,7,17.613194132239784,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",25,0,-32.08158705222487,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",20,0,-20.958596759281573,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",20,0,-12.292558373734746,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",20,0,4.807846027882983,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.914845573574452, 'e': 0.4106557527523455}",20,13,7.75592539093695,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.9139311852712282, 'e': 0.4065696597405991}",25,0,-57.304409212994926,"{0: 16, 1: 5, 2: 3, 3: 1, 4: 0}",0
91,False,"{'a': 0.9130177108992658, 'e': 0.40252422403363597}",25,5,12.410727740026152,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.9121051495450904, 'e': 0.3985190410845142}",25,3,-3.3704283397287034,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.9111935002961405, 'e': 0.39455371037160114}",20,13,-17.541122629215185,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
94,False,"{'a': 0.910282762240767, 'e': 0.3906278353585211}",25,5,-30.643639576336,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
95,False,"{'a': 0.9093729344682314, 'e': 0.3867410234545012}",25,0,-35.28598017188011,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.9084640160687062, 'e': 0.38289288597511206}",20,0,3.2516962807722383,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
97,False,"{'a': 0.9075560061332727, 'e': 0.37908303810339883}",25,0,-2.344776991553363,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
98,False,"{'a': 0.9066489037539209, 'e': 0.37531109885139957}",25,5,-90.62170136265506,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
99,False,"{'a': 0.9057427080235485, 'e': 0.3715766910220457}",20,0,-60.27933062438848,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
100,False,"{'a': 0.9048374180359596, 'e': 0.36787944117144233}",20,1,-49.649259215629016,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 0}",1
101,False,"{'a': 0.9039330328858641, 'e': 0.3642189795715233}",25,11,-2.9020908274021036,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
102,False,"{'a': 0.9030295516688768, 'e': 0.3605949401730783}",20,4,0.20593516630333597,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.9021269734815165, 'e': 0.3570069605691474}",30,0,-66.89447028135683,"{0: 24, 1: 0, 2: 4, 3: 1, 4: 1}",0
104,False,"{'a': 0.9012252974212048, 'e': 0.35345468195878016}",30,11,-38.79850859312642,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.9003245225862656, 'e': 0.3499377491111553}",30,16,-18.171425015879244,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
106,False,"{'a': 0.899424648075924, 'e': 0.34645581033005746}",25,0,-50.7254787479238,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",1
107,False,"{'a': 0.8985256729903055, 'e': 0.3430085174187067}",25,0,-36.71927857328581,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.8976275964304349, 'e': 0.33959552564493917}",20,11,-3.7866168326720624,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.8967304174982355, 'e': 0.33621649370673334}",20,4,-19.85017620191543,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.8958341352965282, 'e': 0.33287108369807955}",30,0,-45.732529091296904,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
111,False,"{'a': 0.894938748929031, 'e': 0.32955896107518906}",20,1,-94.68630362103171,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 2}",1
112,False,"{'a': 0.8940442575003572, 'e': 0.32627979462303947}",20,0,-53.24368964931711,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
113,False,"{'a': 0.8931506601160155, 'e': 0.3230332564222529}",25,0,-117.48848248573323,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
114,False,"{'a': 0.8922579558824083, 'e': 0.3198190218163039}",20,0,-118.88614121359036,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
115,False,"{'a': 0.8913661439068313, 'e': 0.3166367693790532}",25,0,-57.98295035306414,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
116,False,"{'a': 0.8904752232974726, 'e': 0.3134861808826054}",20,11,-2.7177125310140173,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.8895851931634113, 'e': 0.31036694126548503}",20,0,-30.07379409280155,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
118,False,"{'a': 0.8886960526146174, 'e': 0.30727873860113125}",20,7,-42.825458887120725,"{0: 9, 1: 0, 2: 2, 3: 2, 4: 0}",1
119,False,"{'a': 0.8878078007619501, 'e': 0.3042212640667041}",20,0,11.533879636922292,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.8869204367171575, 'e': 0.30119421191220214}",35,0,-31.56679079782504,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 2}",0
121,False,"{'a': 0.8860339595928756, 'e': 0.2981972794298874}",20,0,9.677455524844055,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.8851483685026271, 'e': 0.2952301669240142}",20,0,-4.491810213872993,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",30,2,2.475375206581745,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",25,0,-44.67384535846249,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.8824969025845955, 'e': 0.28650479686019015}",25,8,25.04728733012593,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",20,0,-33.557864041945216,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,8,22.723518245883376,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
